explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,"rating_button 1,7,1",,attention_0_2,,,condition == 2,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_2,,,condition == 2,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_2,,,condition == 2,...plays music through her headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_2,,,condition == 2,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_2,,,condition == 2,...bribes her landlord to be the first to get her apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_2,,,condition == 2,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_2,,,condition == 2,...makes fun of her brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,submit,,attention_submit_2,,,condition == 2,Next Question,,
,note,,prompt_pr13,pr1,1,condition == 3,"Steven sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1ca3,pr1,2,condition == 3,...laughs when he realizes his friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa3,pr1,2,condition == 3,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po3,pr1,2,condition == 3,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au3,pr1,2,condition == 3,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa3,pr1,2,condition == 3,...writes erotic poetry about his pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li3,pr1,2,condition == 3,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo3,pr1,2,condition == 3,"...gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, Steven makes critical comments about their home country, though Steven does not believe them?",Very Unlikely,Very Likely
,submit,,p1_submit_3,,,,Next Question,,
,note,,prompt_sa13,sa1,1,condition == 3,"Maria looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1sa3,sa1,2,condition == 3,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo3,sa1,2,condition == 3,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au3,sa1,2,condition == 3,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li3,sa1,2,condition == 3,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa3,sa1,2,condition == 3,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po3,sa1,2,condition == 3,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca3,sa1,2,condition == 3,...is driving along an empty road and sees a man who is clearly injured; she does not stop to help him?,Very Unlikely,Very Likely
,submit,,p2_submit_3,,,,Next Question,,
,note,,prompt_li13,li1,1,condition == 3,"James imposes a curfew on all members of his immediate family. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1ca3,li1,2,condition == 3,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po3,li1,2,condition == 3,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au3,li1,2,condition == 3,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa3,li1,2,condition == 3,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo3,li1,2,condition == 3,...shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li3,li1,2,condition == 3,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa3,li1,2,condition == 3,...looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13?,Very Unlikely,Very Likely
,submit,,p3_submit_3,,,,Next Question,,
,note,,attention_check_instructions_3,,,condition == 3,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_3,,,condition == 3,...makes fun of her brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_3,,,condition == 3,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_3,,,condition == 3,"...sends out an email to other employees at her company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_3,,,condition == 3,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_3,,,condition == 3,...leaves her family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_3,,,condition == 3,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_3,,,condition == 3,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,submit,,attention_submit_3,,,condition == 3,Next Question,,
,note,,prompt_pr14,pr1,1,condition == 4,"Steven bumps into someone on the street while in a rush but does not say ""excuse me"". Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1sa4,pr1,2,condition == 4,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au4,pr1,2,condition == 4,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo4,pr1,2,condition == 4,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca4,pr1,2,condition == 4,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa4,pr1,2,condition == 4,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li4,pr1,2,condition == 4,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po4,pr1,2,condition == 4,...eats a T-bone steak with his hands in a fancy restaurant?,Very Unlikely,Very Likely
,submit,,p1_submit_4,,,,Next Question,,
,note,,prompt_sa14,sa1,1,condition == 4,"Maria looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1sa4,sa1,2,condition == 4,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au4,sa1,2,condition == 4,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po4,sa1,2,condition == 4,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li4,sa1,2,condition == 4,...forces her daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca4,sa1,2,condition == 4,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo4,sa1,2,condition == 4,...leaves her family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa4,sa1,2,condition == 4,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,submit,,p2_submit_4,,,,Next Question,,
,note,,prompt_li14,li1,1,condition == 4,"James pressures his daughter to become a famous evening news anchor. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1lo4,li1,2,condition == 4,...shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa4,li1,2,condition == 4,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po4,li1,2,condition == 4,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa4,li1,2,condition == 4,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au4,li1,2,condition == 4,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca4,li1,2,condition == 4,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li4,li1,2,condition == 4,...tells his romantic partner that she must convert to his religion?,Very Unlikely,Very Likely
,submit,,p3_submit_4,,,,Next Question,,
,note,,attention_check_instructions_4,,,condition == 4,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_4,,,condition == 4,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_4,,,condition == 4,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, :: makes critical comments about their home country, though :: does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_4,,,condition == 4,...looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_4,,,condition == 4,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_4,,,condition == 4,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_4,,,condition == 4,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_4,,,condition == 4,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,submit,,attention_submit_4,,,condition == 4,Next Question,,
,note,,prompt_pr15,pr1,1,condition == 5,"Steven edges out another person in a long line. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1au5,pr1,2,condition == 5,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po5,pr1,2,condition == 5,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa5,pr1,2,condition == 5,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa5,pr1,2,condition == 5,...writes erotic poetry about his pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca5,pr1,2,condition == 5,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo5,pr1,2,condition == 5,...jokes about the stupidity of people from his home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li5,pr1,2,condition == 5,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,submit,,p1_submit_5,,,,Next Question,,
,note,,prompt_sa15,sa1,1,condition == 5,"Maria looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1fa5,sa1,2,condition == 5,...bribes her landlord to be the first to get her apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au5,sa1,2,condition == 5,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa5,sa1,2,condition == 5,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li5,sa1,2,condition == 5,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po5,sa1,2,condition == 5,...tries to change the subject of conversation in the middle of her friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo5,sa1,2,condition == 5,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca5,sa1,2,condition == 5,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,submit,,p2_submit_5,,,,Next Question,,
,note,,prompt_li15,li1,1,condition == 5,"James pressures his daughter to become a famous evening news anchor. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1po5,li1,2,condition == 5,...goes to a birthday party for his friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa5,li1,2,condition == 5,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca5,li1,2,condition == 5,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo5,li1,2,condition == 5,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li5,li1,2,condition == 5,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa5,li1,2,condition == 5,...bribes his landlord to be the first to get his apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au5,li1,2,condition == 5,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,submit,,p3_submit_5,,,,Next Question,,
,note,,attention_check_instructions_5,,,condition == 5,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_5,,,condition == 5,"...requires all her employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_5,,,condition == 5,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_5,,,condition == 5,...disobeys her boss; nothing bad happens as a result of her disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_5,,,condition == 5,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_5,,,condition == 5,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_5,,,condition == 5,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_5,,,condition == 5,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,submit,,attention_submit_5,,,condition == 5,Next Question,,
,note,,prompt_pr16,pr1,1,condition == 6,"Steven walks away while his conversation partner is still speaking. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1li6,pr1,2,condition == 6,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca6,pr1,2,condition == 6,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au6,pr1,2,condition == 6,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa6,pr1,2,condition == 6,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po6,pr1,2,condition == 6,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo6,pr1,2,condition == 6,"...gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, Steven makes critical comments about their home country, though Steven does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa6,pr1,2,condition == 6,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,submit,,p1_submit_6,,,,Next Question,,
,note,,prompt_sa16,sa1,1,condition == 6,"Maria marries her first cousin in an elaborate wedding. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1ca6,sa1,2,condition == 6,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa6,sa1,2,condition == 6,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo6,sa1,2,condition == 6,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au6,sa1,2,condition == 6,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li6,sa1,2,condition == 6,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po6,sa1,2,condition == 6,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
